Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904750830,HAMILTON,,6/29/25,2025,Pedalcyclist,SR 213 & COUDEN AVE,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,POSSIBLE,DAYLIGHT,CLOUDY,DRY,40.13482791,-85.93939005,COMPLAINT OF PAIN,Other
904752606,HAMILTON,CARMEL,6/30/25,2025,Pedestrian,E 146TH ST,UNSAFE BACKING,BACKING CRASH,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.99936371,-86.04323187,NONE VISIBLE,Other
904753492,JOHNSON,NEW WHITELAND,6/27/25,2025,Pedalcyclist,TRACY RD & US 31,VIEW OBSTRUCTED,LEFT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.56456787,-86.09193489,CONTUSION/BRUISE,Other
904752963,HAMILTON,FISHERS,7/1/25,2025,Pedestrian,ELLIPSE PKWY & SUNBLEST BLVD,FAILURE TO YIELD RIGHT OF WAY,NON-COLLISION,NON-INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.96568281,-86.01807096,ABRASION,Other
904753588,HENDRICKS,BROWNSBURG,7/2/25,2025,Pedalcyclist,STATE RD 267 & MAPLEHURST DR,VIEW OBSTRUCTED,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.86202031,-86.39242092,ABRASION,Other
904754405,HAMILTON,NOBLESVILLE,7/4/25,2025,Pedalcyclist,HAZEL DELL RD & EDENSHALL LN,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0039761,-86.07068504,ABRASION,Other
904754503,HENDRICKS,PLAINFIELD,7/2/25,2025,Pedalcyclist,HAWTHORNE DR & LOMBARDI DR,LEFT OF CENTER,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.72609414,-86.39752069,CONTUSION/BRUISE,Other
904756070,HENDRICKS,PLAINFIELD,7/4/25,2025,Pedalcyclist,S DAN JONES RD & E MAIN ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.70961867,-86.38062783,ABRASION,Other
904756206,HAMILTON,CARMEL,7/5/25,2025,Pedalcyclist,ABNEY RUN DR & W 121ST ST ,UNSAFE SPEED,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.96265034,-86.22238574,FRACTURE/DISLOCATION,SSI
904757999,JOHNSON,,7/10/25,2025,Pedestrian,CR 300 W & CR 550 S,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.39148613,-86.15818892,COMPLAINT OF PAIN,Other
904758060,HENDRICKS,PLAINFIELD,7/9/25,2025,Pedestrian,W NORTH ST & N VINE ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.7085514,-86.40302887,SEVERE BLEEDING,SSI
904758270,JOHNSON,GREENWOOD,7/1/25,2025,Pedalcyclist,ROCKY MEADOW DR & HARVEST MEADOW DR,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.59281486,-86.11904906,ABRASION,Other
904760381,BOONE,Lebanon,7/14/25,2025,Pedalcyclist,LEBANON & MAPLE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,REFUSED,DAYLIGHT,CLEAR,DRY,40.06567113,-86.47266482,COMPLAINT OF PAIN,Other
904760414,HENDRICKS,BROWNSBURG,7/14/25,2025,Pedestrian,959 LOCUST LANE & WILLIAMS DRIVE ,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.82971779,-86.40594998,COMPLAINT OF PAIN,Other
904760534,JOHNSON,FRANKLIN,7/14/25,2025,Pedalcyclist,N MORTON ST & US HWY 31,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.49605599,-86.06550301,NONE VISIBLE,Other
904763499,JOHNSON,FRANKLIN,7/19/25,2025,Pedestrian,W JEFFERSON ST & JACKSON ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,UNKNOWN,DAYLIGHT,CLEAR,DRY,39.48052797,-86.05718998,COMPLAINT OF PAIN,Other
904764837,HAMILTON,FISHERS,7/21/25,2025,Pedalcyclist,PRINCEWOOD DR & ROYALWOOD DR,VIEW OBSTRUCTED,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.96182385,-85.91642151,SEVERE BLEEDING,SSI
904765494,HANCOCK,,7/20/25,2025,Pedestrian,W US HWY 40 & CR 250 W,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.78145587,-85.85069414,UNCONSCIOUSNESS,SSI
904769421,BOONE,Lebanon,7/28/25,2025,Pedestrian,S LEBANON ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAYLIGHT,CLEAR,DRY,40.03524212,-86.47011829,CONTUSION/BRUISE,Other
904771769,HAMILTON,CARMEL,7/16/25,2025,Pedestrian,W MAIN ST.,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DARK (LIGHTED),CLEAR,DRY,39.9790957,-86.1295443,NONE VISIBLE,Other
904771813,HAMILTON,CARMEL,7/31/25,2025,Pedalcyclist,E MAIN ST ,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,REFUSED,DAYLIGHT,CLOUDY,DRY,39.97868608,-86.11996093,MINOR BLEEDING,Other
904773597,HENDRICKS,BROWNSBURG,8/4/25,2025,Pedalcyclist,E MAIN ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.8401507,-86.3870733,ABRASION,Other
904776627,BOONE,Lebanon,8/10/25,2025,Pedalcyclist,N MERIDIAN ST & BUSBY ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.052809,-86.46745139,COMPLAINT OF PAIN,Other
904777720,HAMILTON,FISHERS,8/6/25,2025,Pedalcyclist,126TH STREET & OLIO ROAD,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.97244589,-85.91870922,MINOR BLEEDING,Other
904781452,HAMILTON,NOBLESVILLE,8/17/25,2025,Pedalcyclist,N 10TH ST & FIELD DRIVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.05850583,-86.00992357,MINOR BLEEDING,Other
904784752,HAMILTON,WESTFIELD,8/18/25,2025,Pedalcyclist,KENNARD LN,VIEW OBSTRUCTED,LEFT TURN,NOT REPORTED,DAYLIGHT,CLEAR,DRY,40.0315119,-86.14870938,NONE VISIBLE,Other
904785002,HAMILTON,CARMEL,8/21/25,2025,Pedalcyclist,S RANGELINE RD,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.96034183,-86.12670401,ABRASION,Other
904787955,HAMILTON,CARMEL,8/13/25,2025,Pedalcyclist,S RANGE LINE RD & WINONA DR,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.96945564,-86.12686852,ABRASION,Other
904788555,HAMILTON,NOBLESVILLE,8/27/25,2025,Pedalcyclist,STATE RD 38 & LITTLE CHICAGO RD,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.069723,-86.07112945,COMPLAINT OF PAIN,Other
904791756,JOHNSON,GREENWOOD,8/30/25,2025,Pedalcyclist,N MADISON AVE & CAMBY CT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.62463401,-86.11334498,,Other
904798064,HANCOCK,GREENFIELD,8/11/25,2025,Pedalcyclist,N STATE ST & W MCKENZIE RD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,POSSIBLE,DAWN/DUSK,CLEAR,DRY,39.79944743,-85.76975365,ABRASION,Other
904772285,HAMILTON,WESTFIELD,8/2/25,2025,Pedestrian,146TH ST & CAREY RD,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.00039386,-86.10859153,ABRASION,Other
904772285,HAMILTON,WESTFIELD,8/2/25,2025,Pedestrian,146TH ST & CAREY RD,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.00039386,-86.10859153,SEVERED,SSI
904775363,JOHNSON,GREENWOOD,8/2/25,2025,Pedestrian,WORTHSVILLE RD & CR 75 E,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.58703704,-86.08760115,COMPLAINT OF PAIN,Other
904776081,HANCOCK,MCCORDSVILLE,8/7/25,2025,Pedestrian,N 500 W & COVINGTON AVE,DISREGARD SIGNAL/REG SIGN,COLLISION WITH OBJECT IN ROAD,REFUSED,DAYLIGHT,CLEAR,DRY,39.92752817,-85.89983133,CONTUSION/BRUISE,Other
904777868,HAMILTON,,8/11/25,2025,Pedestrian,SR 32 & PRAIRIE BAPTIST RD,CELL PHONE USAGE,REAR END,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.05775802,-85.90091558,COMPLAINT OF PAIN,Other
904778180,HAMILTON,FISHERS,8/11/25,2025,Pedestrian,AMBLESIDE DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.98013302,-85.99800267,COMPLAINT OF PAIN,Other
904778380,HENDRICKS,PLAINFIELD,8/11/25,2025,Pedestrian,CAMBRIDGE WAY,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.6748669,-86.37031117,INTERNAL,SSI
904785531,HAMILTON,NOBLESVILLE,8/23/25,2025,Pedestrian,E 146TH ST & MUNDY RD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,40.0006473,-86.0016997,COMPLAINT OF PAIN,Other
904786560,HENDRICKS,,8/16/25,2025,Pedestrian,CR 1000 E & CR 600 N,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.85175452,-86.35164099,COMPLAINT OF PAIN,Other
904789741,HAMILTON,NOBLESVILLE,8/30/25,2025,Pedestrian,NOBLE CREEK DR,FAILURE TO YIELD RIGHT OF WAY,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0402158,-85.9973843,ABRASION,Other
904790173,HANCOCK,,8/30/25,2025,Pedalcyclist,200,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.82599605,-85.84039356,COMPLAINT OF PAIN,Other
904791767,HAMILTON,CARMEL,9/2/25,2025,Pedalcyclist,COLLEGE AVE & E 116TH ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.956688,-86.145892,CONTUSION/BRUISE,Other
904793571,HAMILTON,FISHERS,9/5/25,2025,Pedalcyclist,I 69 NB & SOUTHEASTERN PARKWAY,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.989619,-85.923234,COMPLAINT OF PAIN,Other
904795072,JOHNSON,GREENWOOD,9/5/25,2025,Pedalcyclist,WILSON DR & N EMERSON AVE,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.6329,-86.082861,MINOR BLEEDING,Other
904795926,HAMILTON,FISHERS,9/9/25,2025,Pedalcyclist,E 126TH ST & PADDINGTON PKWY,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.972476,-85.914878,MINOR BLEEDING,Other
904796328,HANCOCK,,9/10/25,2025,Pedalcyclist,N 50 W & W 1050N,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.939654,-85.815226,MINOR BLEEDING,Other
904797446,JOHNSON,FRANKLIN,9/11/25,2025,Pedalcyclist,E JEFFERSON ST & BRANIGAN BLVD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.480914,-86.047559,ABRASION,Other
904798258,HAMILTON,NOBLESVILLE,9/12/25,2025,Pedalcyclist,CHERRY ST & S 8TH ST,VIEW OBSTRUCTED,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.043757,-86.014714,COMPLAINT OF PAIN,Other
904802181,JOHNSON,BARGERSVILLE,9/18/25,2025,Pedalcyclist,WHITELAND RD & SR 135,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.548328,-86.158582,COMPLAINT OF PAIN,Other
904802705,HAMILTON,FISHERS,9/19/25,2025,Pedalcyclist,E 131ST ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.978861,-86.00313,COMPLAINT OF PAIN,Other
904803390,BOONE,Lebanon,9/22/25,2025,Pedalcyclist,N LEBANON ST & NORTHFIELD DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,40.061471,-86.471735,MINOR BLEEDING,Other
904806903,HAMILTON,CARMEL,9/20/25,2025,Pedalcyclist,GRAY RD & E 116TH ST,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.956878,-86.089466,ABRASION,Other
904807661,HANCOCK,,9/26/25,2025,Pedalcyclist,600N & N FORTVILLE PIKE,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.87125,-85.827026,COMPLAINT OF PAIN,Other
904809730,HAMILTON,NOBLESVILLE,9/30/25,2025,Pedalcyclist,GREENFIELD AVE & STATE ROAD 37,IMPROPER TURNING,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.023219,-85.9977919,COMPLAINT OF PAIN,Other
904809760,HAMILTON,WESTFIELD,9/30/25,2025,Pedalcyclist,146 ST & CAREY RD,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0003113,-86.108548,COMPLAINT OF PAIN,Other
904809987,HAMILTON,CARMEL,9/29/25,2025,Pedalcyclist,E 116TH ST & RIVER RD,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.95648,-86.065924,FRACTURE/DISLOCATION,SSI
904810150,HAMILTON,CARMEL,9/29/25,2025,Pedalcyclist,WOODLAWN DR & E 106TH ST,PEDESTRIAN ACTION,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.9415794,-86.1304932,MINOR BLEEDING,Other
904811686,HAMILTON,CARMEL,9/20/25,2025,Pedalcyclist,E CITY CENTER DR & MOHAWK HILLS DR,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.971176,-86.114894,ABRASION,Other
904793562,HENDRICKS,PLAINFIELD,9/5/25,2025,Pedestrian,W WASHINGTON ST & E MAIN ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.718759,-86.355124,ABRASION,Other
904795735,HAMILTON,CARMEL,9/6/25,2025,Pedalcyclist,E 106TH ST & WESTFIELD BLVD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.941708,-86.126918,CRUSH INJURY,SSI
904797808,HENDRICKS,PLAINFIELD,9/1/25,2025,Pedalcyclist,DEVONSHIRE AVE & THATCHER LN,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.736483,-86.369221,INTERNAL,SSI
904798846,HAMILTON,WESTFIELD,9/12/25,2025,Pedestrian,"E SR 32, WESTFIELD, IN 46074 & ",PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0422694,-86.1457051,NONE VISIBLE,Other
904800593,JOHNSON,GREENWOOD,9/14/25,2025,Pedestrian,S PARK DR,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.6157409,-86.0819123,ABRASION,Other
904801375,HAMILTON,FISHERS,9/13/25,2025,Pedestrian,LANTERN RD & E. 116TH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.956778,-86.013306,COMPLAINT OF PAIN,Other
904802441,HAMILTON,CARMEL,9/18/25,2025,Pedestrian,SOURWOOD LN  & SETTLERS RIDGE TRL,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.99151,-86.055842,COMPLAINT OF PAIN,Other
904803167,HAMILTON,NOBLESVILLE,9/19/25,2025,Pedestrian,E SR 32 & HAGUE RD,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.04351,-86.039728,COMPLAINT OF PAIN,Other
904804397,HAMILTON,WESTFIELD,9/22/25,2025,Pedestrian,E 181ST ST & SHAMROCK BLVD,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,WET,40.050004,-86.131981,ABRASION,Other
904804556,HENDRICKS,,9/19/25,2025,Pedestrian,N SR 39,PEDESTRIAN ACTION,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.876234,-86.5392213,ABRASION,Other
904806409,HAMILTON,FISHERS,9/25/25,2025,Pedalcyclist,BRITTON PARK RD & TRADE CENTER DR,UNSAFE LANE MOVEMENT,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.989504,-86.006557,FRACTURE/DISLOCATION,SSI
904806556,JOHNSON,FRANKLIN,9/25/25,2025,Pedestrian,W MONROE ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.478401,-86.057418,COMPLAINT OF PAIN,Other
904810141,HAMILTON,CARMEL,9/30/25,2025,Pedestrian,W ELM ST & VETERANS WAY,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.975476,-86.128434,COMPLAINT OF PAIN,Other
904832838,BOONE,Lebanon,11/2/25,2025,Pedestrian,N LEBANON STREET SUITE G ,UNSAFE SPEED,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAYLIGHT,CLEAR,DRY,40.07239441,-86.47481566,COMPLAINT OF PAIN,Other
904838408,BOONE,Lebanon,11/10/25,2025,Pedestrian,LEBANON STREET  & MAIN STREET,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,WET,40.04741765,-86.46917011,FRACTURE/DISLOCATION,SSI
904821143,HENDRICKS,PLAINFIELD,10/15/25,2025,Pedalcycle,US 40 & SHADY LN,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.71418146,-86.36614206,UNCONSCIOUSNESS,SSI
904837598,HENDRICKS,PLAINFIELD,11/7/25,2025,Pedestrian,E  MAIN ST. ,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,NON-COLLISION,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.7135323,-86.3644375,NONE VISIBLE,Other
904828310,HENDRICKS,,10/24/25,2025,Pedestrian,INDEPENDENCE AVE & MIMOSA DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.84801759,-86.33248956,CONTUSION/BRUISE,Other
904813757,HENDRICKS,,10/6/25,2025,Pedestrian,SONORA BLVD. & SUMMERSET DR.,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8615172,-86.32950786,ABRASION,Other
904820711,HAMILTON,CARMEL,10/16/25,2025,Pedestrian,N MICHIGAN RD ,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.93162254,-86.23340357,COMPLAINT OF PAIN,Other
904814306,JOHNSON,GREENWOOD,10/5/25,2025,Pedestrian,N SR 135 & STONEGATE DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.63260513,-86.15847749,ABRASION,Other
904846132,HAMILTON,WESTFIELD,11/15/25,2025,Pedestrian,E GREYHOUND PASS ,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.00317561,-86.12262323,COMPLAINT OF PAIN,Other
904837863,JOHNSON,GREENWOOD,11/6/25,2025,Pedestrian,N US 31 ,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.6322574,-86.1232895,COMPLAINT OF PAIN,Other
904854264,JOHNSON,GREENWOOD,11/27/25,2025,Pedalcycle,SUNBEAM LN ,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,,DARK (NOT LIGHTED),CLEAR,DRY,39.58357184,-86.11359271,,Other
904810677,HAMILTON,CARMEL,10/1/25,2025,Pedalcycle,E 106TH ST & KEYSTONE PKY S,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.94125152,-86.1135315,COMPLAINT OF PAIN,Other
904818405,HAMILTON,CARMEL,10/12/25,2025,Pedestrian,SPRUCE DR & HAWTHORNE DR,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,COLLISION WITH ANIMAL OTHER,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.99253321,-86.1046378,ABRASION,Other
904850182,JOHNSON,GREENWOOD,11/21/25,2025,Pedalcycle,INDEPENDENCE DR & PROVIDENCE DR,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.58535048,-86.10274477,ABRASION,Other
904829602,JOHNSON,GREENWOOD,10/28/25,2025,Pedestrian,S POLK ST & E MAIN ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,UNKNOWN,DARK (LIGHTED),CLEAR,DRY,39.61383497,-86.09804911,COMPLAINT OF PAIN,Other
904812168,JOHNSON,FRANKLIN,10/4/25,2025,Pedestrian,HOSPITAL RD ,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,POSSIBLE,DARK (NOT LIGHTED),CLEAR,DRY,39.47772226,-86.08018345,COMPLAINT OF PAIN,Other
904836011,JOHNSON,GREENWOOD,11/5/25,2025,Pedestrian,N EMERSON AVE. ,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.63455051,-86.07946396,MINOR BLEEDING,Other
904833892,JOHNSON,FRANKLIN,11/4/25,2025,Pedestrian,HOSPIYAL RD ,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,LOOSE MATERIAL ON ROAD,39.47736189,-86.07520288,CONTUSION/BRUISE,Other
904825525,JOHNSON,FRANKLIN,10/21/25,2025,Pedalcycle,BROOKHAVEN DR & OLYMPIA DR,BRAKE FAILURE OR DEFECTIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.50343116,-86.04327191,COMPLAINT OF PAIN,Other
904837326,HAMILTON,NOBLESVILLE,11/9/25,2025,Pedestrian,CLOVER RD ,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DARK (LIGHTED),SNOW,WET,40.03391453,-85.99812949,COMPLAINT OF PAIN,Other
904830647,HAMILTON,NOBLESVILLE,10/31/25,2025,Pedestrian,SR37 SB & GREENFIELD AVE,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,40.02618673,-85.99601827,FRACTURE/DISLOCATION,SSI
904836827,HAMILTON,FISHERS,11/9/25,2025,Pedestrian,OLIO RD & 96TH ST,FAILURE TO YIELD RIGHT OF WAY,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DARK (NOT LIGHTED),RAIN,WET,39.92794744,-85.91890489,COMPLAINT OF PAIN,Other
904846225,HAMILTON,FISHERS,11/19/25,2025,Pedalcycle,OLIO RD ,PEDESTRIAN ACTION,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),CLOUDY,DRY,39.9632788,-85.9190191,ABRASION,Other
904848430,HANCOCK,NEW PALESTINE,11/21/25,2025,Pedestrian,S VICTORY DR. ,FAILURE TO YIELD RIGHT OF WAY,NON-COLLISION,NON-INCAPACITATING,DARK (NOT LIGHTED),RAIN,WET,39.71814675,-85.89323009,CRUSH INJURY,SSI
